Block Num,Gas Used
18650775,11982872
18652014,9275608
18652949,20003510
18654345,16926282
18654879,15045962
18655160,13630294
18656768,23184100
18658775,11267640
18660046,7711104
18660657,11680400
18662100,23378686
18664585,14956077
18665626,20499134
18666740,22445223
18666859,29387134
18668255,11232364
18668402,9759009
18670644,8596763
18670759,14692115
18670874,12172857
18671106,11840778
18671371,11325299
18674227,14375721
18674527,14286983
18675039,28469417
18675096,11904877
18675116,15253592
18678483,9750702
18682786,9980302
18683959,19138397
18685660,20708214
18687503,17120877
18687983,9183966
18688419,15628930
18688469,16779647
18689733,13244772
18690280,14083151
18693100,7438228
18693232,15593633
18693435,11636814
18694085,15795227
18697231,8588242
18698622,14705039
18701944,29584718
18702257,8791598
18703681,16045607
18704894,29990519
18707103,15202641
18707714,11281752
18709323,29973015
18709324,8376922
18710769,12349753
18711018,9048510
18711751,10356358
18712556,14766835
18714306,13058624
18715646,20709312
18715706,17536176
18716495,14324884
18717131,10771015
18717565,29960695
18719368,25109986
18720716,13853612
18721135,14215747
18721268,11727298
18722530,19871717
18723938,10494151
18724206,13363197
18724320,18388171
18725742,1902192
18727389,16396711
18727864,12205212
18727964,16383163
18732845,15670631
18733220,13071384
18733767,17081751
18734397,14008545
18735425,29992885
18736986,16594118
18739790,23052786
18739916,13702042
18742820,13632602
18743246,14093061
18747881,3643965
18748405,29986928
18748632,11405492
18749004,11234802
18749759,13121459
18751435,15640995
18751620,17675857
18752663,12388374
18752909,8307915
18757161,11908263
18758061,10426739
18758993,11104139
18759257,14519741
18763588,12121706
18765029,19668884
18765031,13081259
18766454,5912141
